corpus,family,group,section,representation,window_id,start,end,n_events,n_chars,mean_event_len,sd_event_len,cv_event_len,median_event_len,max_event_len,single_char_frac,length_entropy,length_autocorr1,length_change_rate,char_inventory,event_inventory,type_token_ratio,hapax_type_frac,top_event_mass,same_adjacent_event_rate,char_H0,char_H1,char_H2,char_RED1,char_RED2,char_H0_norm,char_H1_norm,event_H0,event_H1,event_RED1,first_char_H,last_char_H,first_inventory,last_inventory,first_last_MI,position_char_MI,mean_prefix_overlap,mean_suffix_overlap,mean_distinct_chars_per_event,distinct_char_ratio,digit_frac,uppercase_frac,punct_frac,space_like_boundary_rate
Ammerbach,organ_tablature,ammerbach_bookB,,pitch,ammerbach_bookB:153:3672,3672,3720,48.0,91.0,1.8958333333333333,0.6204696921598096,0.32728071674363585,2.0,3.0,0.25,1.3442857648512252,0.4126422822122715,0.3191489361702128,11.0,13.0,0.2708333333333333,0.38461538461538464,0.1875,0.19148936170212766,2.586532639258956,0.0,0.0,1.0,0.0,0.7476756081329382,0.0,3.2062528027060444,1.5279476069813849,0.5234475566955255,2.8691810355376477,1.2088326964283513,9.0,5.0,1.1097725401332799,1.0006745715154781,0.19148936170212766,0.4255319148936171,1.75,0.9230769230769231,0.0,0.0,0.0,0.5274725274725275
Ammerbach,organ_tablature,ammerbach_bookB,,pitch,ammerbach_bookB:154:3696,3696,3744,48.0,98.0,2.0416666666666665,0.6757197808427856,0.3309647906168746,2.0,3.0,0.20833333333333334,1.4505820084462417,0.28411640998327115,0.44680851063829785,11.0,12.0,0.25,0.25,0.1875,0.23404255319148937,2.492568187692477,0.0,0.0,1.0,0.0,0.7205137902608184,0.0,3.2330072301048838,1.7667140944607953,0.45353846474278364,2.9006062513923547,0.9749812602784071,9.0,4.0,0.8806203225079736,1.0037868504535163,0.23404255319148937,0.4716312056737588,1.7916666666666667,0.8775510204081634,0.0,0.0,0.0,0.489795918367347
Ammerbach,organ_tablature,ammerbach_bookB,,pitch,ammerbach_bookB:155:3720,3720,3768,48.0,93.0,1.9375,0.6260408000548633,0.3231178322863811,2.0,3.0,0.22916666666666666,1.357145903560534,0.10287346292750114,0.48936170212765956,11.0,10.0,0.20833333333333334,0.1,0.22916666666666666,0.2553191489361702,2.5793854787737085,0.0,0.0,1.0,0.0,0.745609615428604,0.0,3.0610597562459243,1.7114587637818564,0.44089338331611505,2.9173806530742628,0.9147323370350411,9.0,3.0,0.9147323370350411,1.0023236957208868,0.2553191489361702,0.44680851063829785,1.7708333333333333,0.9139784946236559,0.0,0.0,0.0,0.5161290322580645
Ammerbach,organ_tablature,ammerbach_bookB,,pitch,ammerbach_bookB:156:3744,3744,3792,48.0,91.0,1.8958333333333333,0.6843361544023685,0.3609685210034471,2.0,4.0,0.25,1.3484099354542713,0.016559670522079878,0.425531914893617,13.0,14.0,0.2916666666666667,0.35714285714285715,0.20833333333333334,0.19148936170212766,2.87821210268075,0.14050799953410273,0.0,0.9511821941811606,1.0,0.7778027266788212,0.037970622476370626,3.3797860125552326,1.7518871580348376,0.4816573737133282,2.941821554819555,1.1527919477639177,9.0,5.0,1.0435187707256568,1.1342953329837404,0.19148936170212766,0.3865248226950354,1.8333333333333333,0.967032967032967,0.0,0.0,0.0,0.5274725274725275
Ammerbach,organ_tablature,ammerbach_bookB,,pitch,ammerbach_bookB:157:3768,3768,3816,48.0,87.0,1.8125,0.7814583055629605,0.4311494099657713,2.0,4.0,0.3541666666666667,1.4505210741568306,0.03798615283972013,0.44680851063829785,14.0,17.0,0.3541666666666667,0.4117647058823529,0.1875,0.14893617021276595,3.1999569461374535,0.29768308908812335,0.0,0.9069727830408952,1.0,0.8404672040420399,0.07818632493743106,3.7117666049245943,1.6577319786858504,0.5533846399484141,2.9754128972590443,1.9465242124936424,9.0,8.0,1.4617128781853204,1.211002010842615,0.14893617021276595,0.2872340425531915,1.7916666666666667,0.9885057471264368,0.0,0.0,0.0,0.5517241379310345
Ammerbach,organ_tablature,ammerbach_bookB,,pitch,ammerbach_bookB:158:3792,3792,3840,48.0,89.0,1.8541666666666667,0.7356851492920656,0.39677401310133875,2.0,4.0,0.3333333333333333,1.5497419908938441,0.15956769894842948,0.46808510638297873,12.0,15.0,0.3125,0.3333333333333333,0.22916666666666666,0.23404255319148937,2.7829067086573565,0.1852104400837391,0.0,0.9334471258028281,1.0,0.7762721947851736,0.051663145722300276,3.394393089579258,1.4982611868427775,0.5586070477687397,2.698623370854876,1.701087525364298,8.0,7.0,1.2634502967558165,1.0599094733603627,0.2553191489361702,0.3617021276595745,1.7291666666666667,0.9325842696629214,0.0,0.0,0.0,0.5393258426966292
Ammerbach,organ_tablature,ammerbach_bookB,,pitch,ammerbach_bookB:159:3816,3816,3864,48.0,96.0,2.0,0.6454972243679028,0.3227486121839514,2.0,3.0,0.20833333333333334,1.3965354233178195,0.20531065819317076,0.40425531914893614,9.0,9.0,0.1875,0.1111111111111111,0.20833333333333334,0.2765957446808511,2.3707441225487935,0.0,0.0,1.0,0.0,0.7478865025103457,0.0,2.8918899315324547,1.648044934178747,0.4301149168200105,2.7414882450975875,0.7382848661434506,8.0,2.0,0.7382848661434505,0.9999999999999996,0.2978723404255319,0.48226950354609927,1.7916666666666667,0.8958333333333334,0.0,0.0,0.0,0.5
Ammerbach,organ_tablature,ammerbach_bookB,,pitch,ammerbach_bookB:160:3840,3840,3888,48.0,87.0,1.8125,0.6969053618199055,0.384499509969603,2.0,4.0,0.3333333333333333,1.463690143510631,0.1931452349155274,0.3404255319148936,11.0,14.0,0.2916666666666667,0.2857142857142857,0.20833333333333334,0.2127659574468085,2.720125077020701,0.11150039860504542,0.0,0.9590090913292967,1.0,0.7862924829519202,0.03223084335714272,3.465199876515855,1.7658237970147013,0.4904121378446489,2.8529744192676714,1.3928941476196224,8.0,5.0,1.0723353570381056,1.0536352367354742,0.22340425531914893,0.4290780141843971,1.7083333333333333,0.9425287356321839,0.0,0.0,0.0,0.5517241379310345
Ammerbach,organ_tablature,ammerbach_bookB,,pitch,ammerbach_bookB:161:3864,3864,3912,48.0,77.0,1.6041666666666667,0.7285711854185714,0.45417424545573276,1.5,4.0,0.5,1.3291757112282037,0.14768063951019983,0.3191489361702128,11.0,16.0,0.3333333333333333,0.4375,0.25,0.2127659574468085,3.0050420884834317,0.2918756360934536,0.0,0.9028713650261199,1.0,0.8686519693854061,0.08437098005377722,3.4570673863999555,1.7535803357789481,0.4927549452239481,2.71824119183272,2.138587438751043,8.0,8.0,1.5425685977728354,1.1696199429218694,0.22340425531914893,0.3617021276595745,1.6041666666666667,1.0,0.0,0.0,0.0,0.6233766233766234
Ammerbach,organ_tablature,ammerbach_bookB,,pitch,ammerbach_bookB:162:3888,3888,3936,48.0,85.0,1.7708333333333333,0.6531839752746201,0.3688568330962561,2.0,4.0,0.3333333333333333,1.3482786398924815,0.032738037301690504,0.3404255319148936,13.0,15.0,0.3125,0.4666666666666667,0.20833333333333334,0.1276595744680851,2.903484057230826,0.07445641897739105,0.0,0.9743561812258053,1.0,0.7846321730352048,0.020120965249717425,3.2956380955279885,1.5747503929435072,0.5221713224275558,2.7932524026568966,1.7844208586976316,9.0,9.0,1.3394286554549453,1.0860836109518575,0.1276595744680851,0.3404255319148936,1.7291666666666667,0.9764705882352942,0.0,0.0,0.0,0.5647058823529412
